,company,title,date,salary,workingform,target,position,experience,sex,city
675,UI/UX,Công ty TNHH Thương Mại và Dịch Vụ Wowland Group,25/07/2021,Tới 12 triệu,Toàn thời gian,10 người,Nhân viên,Dưới 1 năm,Nữ,Hồ Chí Minh
676,LẬP TRÌNH VIÊN,Công ty cổ phần Flextech,"0/06/2021
",15-25 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
677,LẬP TRÌNH VIÊN,Công ty cổ phần Flextech,30/06/2021,23-35 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
678,BUSINESS ANALYST,Công ty TNHH Lửa Á Châu,03/06/2021,6-8 triệu,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
679,LẬP TRÌNH VIÊN .NET,Công ty cổ phần Nextgen Việt Nam,13/06/2021,Tới 25 triệu,Toàn thời gian,6 người,Nhân viên,1 năm,Nam,Hà Nội
680,LẬP TRÌNH VIÊN PHP,CÔNG TY CP CÔNG NGHỆ DNG,"3/06/2021
",12-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
681,BUSINESS ANALYST,Công ty Cổ phần Đầu tư Công nghệ F99,03/06/2021,Tới 35 triệu,Toàn thời gian,1 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
682,CÔNG TY TNHH VI TÍNH NGUYÊN KIM,,"6/05/2021
",7-10 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
683,DEVELOPER,Công ty Cổ phần DD Solution,03/06/2021,8-12 triệu,Toàn thời gian,1 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
684,IOS,Công ty Cổ phần DD Solution,03/06/2021,10-20 triệu,Toàn thời gian,3 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
685,Công ty Cổ phẩn Lotus Quality Assurance,,03/07/2021,Thoả thuận,Toàn thời gian,2 người,Trưởng nhóm,3 năm,Không yêu cầu,Hà Nội
686,JAVA DEVELOPER,Công ty Cổ phần VNEXT SOFTWARE,03/06/2021,Tới 15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
687,KỸ SƯ CẦU NỐI,Công ty Cổ phẩn Lotus Quality Assurance,03/07/2021,Tới 35 triệu,Toàn thời gian,2 người,Trưởng nhóm,2 năm,Không yêu cầu,Hà Nội
688,PYTHON,Công ty Cổ phần VNEXT SOFTWARE,03/06/2021,Tới 35 triệu,Toàn thời gian,2 người,Nhân viên,4 năm,Không yêu cầu,Hà Nội
689,NHÂN VIÊN KỸ THUẬT,Công ty cổ phần 88 Group (laptop88),03/06/2021,8-15 triệu,Toàn thời gian,2 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
690,DEVELOPER,Công ty Cổ phần VNEXT SOFTWARE,03/06/2021, Tới 18 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Nam,Hà Nội
691,FRONT-END DEVELOPER,Công ty Cổ phần VNEXT SOFTWARE,03/06/2021,Tới 15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
692,Công ty cổ phần 88 Group (laptop88),,03/06/2021,12-15 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
693,Công ty Cổ phần VNEXT SOFTWARE,,03/06/2021,Tới 28 triệu,Toàn thời gian,2 người,Trưởng nhóm,5 năm,Không yêu cầu,Hà Nội
694,FRONT-END DEVELOPER,Công ty Cổ phần VNEXT SOFTWARE,03/06/2021,Tới 20 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
695,JAVA DEVELOPER,Công ty Cổ phẩn Lotus Quality Assurance,"3/06/2021
",Tới 40 triệu,Toàn thời gian,2 người,Nhân viên,2 năm,Không yêu cầu,Hà Nội
696,TESTER,Công ty Cổ phẩn Lotus Quality Assurance,03/07/2021,Tới 35 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
697,KẾ TOÁN THUẾ,Công ty Cổ phần VNEXT SOFTWARE,05/06/2021,Tới 11 triệu,Toàn thời gian,1 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
698,PHP DEVELOPER,Công ty Cổ phần VNEXT SOFTWARE,03/06/2021,Tới 18 triệu,Toàn thời gian,Không giới hạn,Nhân viên,1 năm,Không yêu cầu,Hà Nội
699,DEVELOPER,Công ty Cổ phần VNEXT SOFTWARE,03/06/2021,Tới 8 triệu,Toàn thời gian,5 người,Nhân viên,Dưới 1 năm,Không yêu cầu,Hà Nội
700,NHÂN VIÊN KINH DOANH,Công ty Cổ phần VNEXT SOFTWARE,03/06/2021,Tới 8 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
701,Công ty TNHH Thương Mại Điện Tử Cầu Vồng,,02/06/2021,Thoả thuận,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hồ Chí Minh
702,NHÂN VIÊN KINH DOANH,CÔNG TY TNHH PHÂN PHỐI CÔNG NGHỆ N-TEK,03/06/2021,Tới 25 triệu,Toàn thời gian,6 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
703,LẬP TRÌNH VIÊN .NET,E-SOLUTIONS,15/05/2021,Thoả thuận,Toàn thời gian,7 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
704,LẬP TRÌNH VIÊN .NET,Công ty TNHH Thương Mại Điện Tử Cầu Vồng,02/06/2021,10-15 triệu,Toàn thời gian,Không giới hạn,Nhân viên,Dưới 1 năm,Không yêu cầu,Hồ Chí Minh
705,Công ty Cổ phần Công nghệ phần mềm và quảng cáo trực tuyến MegaAds,,02/06/2021,30-40 triệu,Toàn thời gian,2 người,Trưởng nhóm,6 năm,Không yêu cầu,Hà Nội
706,ANDROID,CÔNG TY TNHH CÔNG NGHỆ RIKAI,02/06/2021,Tới 35 triệu,Toàn thời gian,3 người,Nhân viên,2 năm,Không yêu cầu,Hồ Chí Minh
707,TESTER,Tập đoàn Sunshine - Sunshine Group,02/06/2021,Tới 23 triệu,Toàn thời gian,2 người,Nhân viên,3 năm,Không yêu cầu,Hà Nội
708,CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH HẢI PHÁT,,02/06/2021,6-10 triệu,Toàn thời gian,7 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
709,CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH HẢI PHÁT,,02/06/2021,5-10 triệu,Toàn thời gian,20 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hồ Chí Minh
710,DATA ANALYST,"Finsify Co.,Ltd - Money Lover",10/06/2021,Tới 20 triệu,Toàn thời gian,1 người,Nhân viên,1 năm,Không yêu cầu,Hà Nội
711,công ty cổ phần HC - Phát triển công nghệ Smart parking,,14/07/2021,Trên 6 triệu,Toàn thời gian,2 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
712,NHÂN VIÊN KINH DOANH,CÔNG TY CỔ PHẦN TRUYỀN THÔNG VÀ CÔNG NGHỆ VILICA,31/05/2021,Trên 6 triệu,Toàn thời gian,10 người,Nhân viên,Không yêu cầu,Không yêu cầu,Hà Nội
713,NHÂN VIÊN IT,Công ty TNHH MCNEX VINA,18/07/2021,Tới 10 triệu,Toàn thời gian,2 người,Nhân viên,1 năm,Không yêu cầu,Ninh Bình
